sep=;
Unidad;Marca;Modelo;Referencia;Año;Ubicacion;Propietario;Departamento;CuentaContable;Combustible;Placas;Serie;TireSpec;TerrainType;OperationalUse;TireBrand;IntDias;IntServicio;KmPromDiario;KmActuales;KmUltimoServicio;FechaUltimoServicio;CirculationCard;EngineType;Color;Traccion;Transmision;CapacidadCarga;FuelTankCapacity;InsuranceExpiryDate;VencimientoVerificacion;InsuranceCompany;InsurancePolicyNumber;MonthlyLeasePayment
ASM-016;Ram;700;Operación Planta;2024;Planta;Arian Silver de México;Operación Planta;8012-548-390;Gasolina;YW-8191-D;9BD281H59PYY69987;185/60 R15;Carga Ligera;Planta;MICHELIN;180;10000;216.0;106610;96515;2026-01-13;TC-YW-8191-D-2024;L4 1.6L DOHC (Gasolina);Blanco;4x2;Estándar (Manual);500;45;2027-04-29;2026-10-30;Qualitas;POL-ASM-016-2024;12000.00
ASM-017;Toyota;Hilux;Mantenimiento Eléctrico;2024;Mina;Huur;Mantenimiento Mina;8019-548-190;Diésel;TK-9722-H;MR0DA3CXR4007222;265/65 R17;All-Terrain (A/T);Mina;BF GOODRICH;90;5000;118.9;51812;49627;2026-03-27;TC-TK-9722-H-2024;L4 2.5L Turbo (2KD-FTV Diésel);Blanco;4x4;Estándar (Manual);1000;80;2027-04-29;2026-10-30;Qualitas;POL-ASM-017-2024;14850.00
ASM-018;Kia;Rio;Flota;2022;Planta;Huur;Mantenimiento Planta;8019-548-390;Gasolina;PCZ-11-91;3KPA24BC4NE456823;185/65 R15;Passenger;Ciudad;MICHELIN;180;10000;178.6;98391;96540;2025-10-23;TC-PCZ-11-91-2024;L4 1.6L DOHC (Gasolina);Blanco;4x2;Estándar (Manual);500;45;2027-04-29;2026-10-30;Qualitas;POL-ASM-018-2024;9800.00
ASM-019;Toyota;Hilux;Planeación;2018;Mina;Huur;Planeación;8012-548-150;Diésel;TJ-7355-F;MRDFA8CD3J3900638;265/65 R17;All-Terrain (A/T);Mixto;BF GOODRICH;90;5000;74.7;137874;137423;2026-03-26;TC-TJ-7355-F-2024;L4 2.5L Turbo (2KD-FTV Diésel);Blanco;4x4;Estándar (Manual);1000;80;2027-04-29;2026-10-30;Qualitas;POL-ASM-019-2024;14850.00
ASM-020;Toyota;Hilux;Exploración;2023;Mina;Huur;Exploración;8012-548-140;Diésel;TG-7053-H;MR0DA3CD7P4005053;265/65 R17;Mud-Terrain (M/T);Extremo/Lodo;BF GOODRICH;180;10000;155.9;107467;100834;2026-02-27;TC-TG-7053-H-2024;L4 2.5L Turbo (2KD-FTV Diésel);Blanco;4x4;Estándar (Manual);1000;80;2027-04-29;2026-10-30;Qualitas;POL-ASM-020-2024;14850.00
ASM-021;Toyota;Hilux;Planeación;2023;Mina;Huur;Planeación;8012-548-150;Diésel;TM-33-95-G;MR0DA3CD7P4004372;265/65 R17;All-Terrain (A/T);Campo;BF GOODRICH;90;5000;118.4;58774;56874;2026-02-27;TC-TM-33-95-G-2024;L4 2.5L Turbo (2KD-FTV Diésel);Blanco;4x4;Estándar (Manual);1000;80;2027-04-29;2026-10-30;Qualitas;POL-ASM-021-2024;14850.00
ASM-022;Toyota;Yaris;Relaciones Comunitarias;2023;Mina;Huur;Relaciones Comunitarias;8019-548-901;Diésel;UWY-713-D;MR2BF8C37P0023290;185/60 R15;Passenger;Ciudad;MICHELIN;180;10000;131.3;104782;100000;2026-02-27;TC-UWY-713-D-2024;L4 1.6L DOHC (Gasolina);Blanco;4x2;Estándar (Manual);500;45;2027-04-29;2026-10-30;Qualitas;POL-ASM-022-2024;12000.00
ASM-023;Seat;Ateca;Flota;2017;Mina;Huur;Administración;8019-548-901;Gasolina;UYM-047-C;VSSAA75F8H6532319;215/55 R17;SUV/Carretera;Ciudad;MICHELIN;180;10000;99.7;30114;25496;2026-02-26;TC-UYM-047-C-2024;L4 1.6L DOHC (Gasolina);Blanco;4x2;Estándar (Manual);500;45;2027-04-29;2026-10-30;Qualitas;POL-ASM-023-2024;12000.00
ASM-024;JAC;Frision T8;Seguridad Patrimonial;2023;Mina;Arian Silver de México;Seguridad Patrimonial;8019-548-902;Diésel;YW-7900-D;3GALD1593PM002498;265/60 R18;All-Terrain (A/T);Mixto;BF GOODRICH;180;5000;244.7;193129;186819;2026-03-11;TC-YW-7900-D-2024;L4 1.6L DOHC (Gasolina);Blanco;4x2;Estándar (Manual);500;45;2027-04-29;2026-10-30;Qualitas;POL-ASM-024-2024;12000.00
ASM-025;JAC;X200;Administración;2024;Mina;Arian Silver de México;Administración;8019-548-901;Gasolina;ZA-6811-D;3GALJ1398RM003712;195/70 R15C;Carga (Tipo C);Reparto;YOKOHAMA;180;10000;145.6;59994;58209;2026-03-19;TC-ZA-6811-D-2024;L4 1.6L DOHC (Gasolina);Blanco;4x2;Estándar (Manual);500;45;2027-04-29;2026-10-30;Qualitas;POL-ASM-025-2024;12000.00
ASM-026;Toyota;Hilux;Geología;2024;Mina;Huur;Geología;8012-548-140;Diésel;TL-8939-H;MR0DA3CD4R4007281;265/65 R17;All-Terrain (A/T);Campo;BF GOODRICH;90;5000;212.1;68103;61238;2026-02-27;TC-TL-8939-H-2024;L4 2.5L Turbo (2KD-FTV Diésel);Blanco;4x4;Estándar (Manual);1000;80;2027-04-29;2026-10-30;Qualitas;POL-ASM-026-2024;14850.00
ASM-027;Toyota;Hilux;Operación Mina;2025;Mina;Huur;Operación Mina;8019-548-190;Diésel;TN-0201-H;MR0DA3CD9S4009937;265/65 R17;All-Terrain (A/T);Mina;BF GOODRICH;90;5000;160.7;16332;11627;2026-02-27;TC-TN-0201-H-2024;L4 2.5L Turbo (2KD-FTV Diésel);Blanco;4x4;Estándar (Manual);1000;80;2027-04-29;2026-10-30;Qualitas;POL-ASM-027-2024;14850.00
